"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","Airport_fee"
2,"2024-01-13 03:18:09.000000","2024-01-13 03:24:37.000000",1,2.31,1,"N",48,68,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,"2024-01-13 03:52:58.000000","2024-01-13 04:01:18.000000",1,2.61,1,"N",231,164,1,13.5,1,0.5,2,0,1,20.5,2.5,0
2,"2024-01-13 03:26:02.000000","2024-01-13 03:34:43.000000",1,1.79,1,"N",90,233,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,"2024-01-13 03:53:44.000000","2024-01-13 04:10:56.000000",1,6.58,1,"N",141,244,1,27.5,1,0.5,6.5,0,1,39,2.5,0
2,"2024-01-13 02:58:28.000000","2024-01-13 03:14:33.000000",1,3.4,1,"N",79,246,1,18.4,1,0.5,4.68,0,1,28.08,2.5,0
2,"2024-01-13 03:54:24.000000","2024-01-13 04:03:58.000000",1,2.85,1,"N",140,74,2,14.2,1,0.5,0,0,1,19.2,2.5,0
2,"2024-01-13 03:06:55.000000","2024-01-13 03:50:08.000000",3,16.25,3,"N",48,1,1,88.1,1,0,20.7,13.38,1,124.18,0,0
2,"2024-01-13 03:22:26.000000","2024-01-13 03:30:50.000000",2,1.35,1,"N",249,144,1,10,1,0.5,3,0,1,18,2.5,0
2,"2024-01-13 03:21:19.000000","2024-01-13 03:46:54.000000",1,5.72,1,"N",164,25,1,28.9,1,0.5,6.78,0,1,40.68,2.5,0
1,"2024-01-13 03:13:35.000000","2024-01-13 03:40:25.000000",1,8.4,1,"N",90,181,1,35.2,3.5,0.5,9.4,6.94,1,56.54,2.5,0
2,"2024-01-13 03:22:52.000000","2024-01-13 03:45:47.000000",1,11.83,1,"N",161,138,1,46.4,6,0.5,10,6.94,1,73.34,2.5,0
2,"2024-01-13 03:20:52.000000","2024-01-13 03:54:01.000000",1,7.08,1,"N",107,188,1,37.3,1,0.5,8.46,0,1,50.76,2.5,0
2,"2024-01-13 03:47:40.000000","2024-01-13 04:08:34.000000",3,4.43,1,"N",211,225,1,24.7,1,0.5,5.94,0,1,35.64,2.5,0
1,"2024-01-13 03:31:39.000000","2024-01-13 03:34:13.000000",1,0.5,1,"N",48,48,1,5.1,3.5,0.5,2,0,1,12.1,2.5,0
2,"2024-01-13 03:48:31.000000","2024-01-13 03:58:40.000000",1,2.87,1,"N",263,164,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
2,"2024-01-13 03:47:31.000000","2024-01-13 04:48:06.000000",1,30.6,1,"N",230,44,1,116.4,1,0.5,27.06,13.88,1,162.34,2.5,0
2,"2024-01-13 03:40:35.000000","2024-01-13 03:45:55.000000",1,1.68,1,"N",79,137,1,8.6,1,0.5,2,0,1,15.6,2.5,0
1,"2024-01-13 03:10:37.000000","2024-01-13 03:22:17.000000",1,2,1,"N",141,161,3,12.1,3.5,0.5,0,0,1,17.1,2.5,0
2,"2024-01-13 03:39:41.000000","2024-01-13 03:59:26.000000",1,3.61,1,"N",48,145,4,-21.9,-1,-0.5,6.72,0,-1,-20.18,-2.5,0
2,"2024-01-13 03:39:41.000000","2024-01-13 03:59:26.000000",1,3.61,1,"N",48,146,4,21.9,1,0.5,0,0,1,26.9,2.5,0
1,"2024-01-13 03:55:28.000000","2024-01-13 04:01:15.000000",1,1.1,1,"N",246,90,1,7.9,3.5,0.5,3.85,0,1,16.75,2.5,0
1,"2024-01-13 03:38:19.000000","2024-01-13 03:44:30.000000",1,1.1,1,"N",48,186,1,7.9,3.5,0.5,3.25,0,1,16.15,2.5,0
1,"2024-01-13 03:59:16.000000","2024-01-13 04:28:32.000000",1,11,1,"N",68,123,2,42.9,3.5,0.5,0,0,1,47.9,2.5,0
2,"2024-01-13 03:10:33.000000","2024-01-13 03:14:20.000000",2,0.62,1,"N",144,148,1,5.8,1,0.5,0,0,1,10.8,2.5,0
1,"2024-01-13 03:10:13.000000","2024-01-13 03:15:36.000000",1,0.9,1,"N",148,79,1,6.5,3.5,0.5,2.3,0,1,13.8,2.5,0
2,"2024-01-13 03:50:57.000000","2024-01-13 04:28:06.000000",4,10.31,5,"N",80,265,1,86,0,0,0,13.38,1,100.38,0,0
2,"2024-01-13 03:07:06.000000","2024-01-13 03:26:46.000000",1,6.83,1,"N",140,243,1,30.3,1,0.5,7.06,0,1,42.36,2.5,0
2,"2024-01-13 03:09:14.000000","2024-01-13 03:16:58.000000",1,2.24,1,"N",48,164,1,11.4,1,0.5,3.28,0,1,19.68,2.5,0
2,"2024-01-13 03:56:45.000000","2024-01-13 04:07:39.000000",1,4.03,1,"N",246,151,2,17.7,1,0.5,0,0,1,22.7,2.5,0
2,"2024-01-13 03:00:32.000000","2024-01-13 03:30:13.000000",1,5.85,5,"N",79,265,1,63,0,0,12.8,0,1,76.8,0,0
2,"2024-01-13 03:51:53.000000","2024-01-13 03:55:25.000000",1,0.66,1,"N",48,50,1,5.8,1,0.5,3.24,0,1,14.04,2.5,0
2,"2024-01-13 03:16:22.000000","2024-01-13 03:58:00.000000",1,9.4,1,"N",249,173,2,45.7,1,0.5,0,0,1,50.7,2.5,0
2,"2024-01-13 03:01:58.000000","2024-01-13 03:06:46.000000",5,1.19,1,"N",249,79,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,"2024-01-13 03:13:30.000000","2024-01-13 03:19:29.000000",5,1.14,1,"N",148,114,1,7.9,1,0.5,2,0,1,14.9,2.5,0
2,"2024-01-13 03:27:50.000000","2024-01-13 03:35:56.000000",5,1.39,1,"N",148,231,1,10,1,0.5,3,0,1,18,2.5,0
2,"2024-01-13 03:29:40.000000","2024-01-13 03:36:32.000000",1,1.01,1,"N",114,148,1,8.6,1,0.5,3.4,0,1,17,2.5,0
2,"2024-01-13 03:08:20.000000","2024-01-13 03:18:52.000000",1,2.65,1,"N",239,90,1,14.2,1,0.5,4.8,0,1,24,2.5,0
1,"2024-01-13 03:04:54.000000","2024-01-13 03:11:49.000000",1,1.6,1,"N",114,107,1,10,3.5,0.5,2,0,1,17,2.5,0
1,"2024-01-13 03:13:08.000000","2024-01-13 03:15:58.000000",1,0.4,1,"N",107,164,1,5.1,3.5,0.5,20,0,1,30.1,2.5,0
1,"2024-01-13 03:55:50.000000","2024-01-13 04:09:27.000000",1,3,1,"N",148,68,1,17,3.5,0.5,4,0,1,26,2.5,0
2,"2024-01-13 03:47:14.000000","2024-01-13 03:51:28.000000",1,0.94,1,"N",246,50,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,"2024-01-13 03:35:56.000000","2024-01-13 03:40:46.000000",1,0.68,1,"N",148,79,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,"2024-01-13 03:56:38.000000","2024-01-13 04:04:24.000000",1,2.27,1,"N",232,107,1,12.1,1,0.5,1,0,1,18.1,2.5,0
2,"2024-01-13 03:02:50.000000","2024-01-13 03:09:45.000000",2,1.33,1,"N",145,145,1,9.3,1,0.5,2.36,0,1,14.16,0,0
2,"2024-01-13 03:16:05.000000","2024-01-13 03:37:30.000000",1,5.05,1,"N",148,198,2,25.4,1,0.5,0,0,1,30.4,2.5,0
2,"2024-01-13 03:07:01.000000","2024-01-13 03:12:49.000000",2,0.9,1,"N",4,79,1,7.9,1,0.5,2.58,0,1,15.48,2.5,0
2,"2024-01-13 03:25:40.000000","2024-01-13 03:28:29.000000",1,1,1,"N",229,137,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,"2024-01-13 03:11:21.000000","2024-01-13 03:24:36.000000",1,1.78,1,"N",158,79,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
1,"2024-01-13 03:12:23.000000","2024-01-13 03:25:41.000000",2,3.4,1,"N",114,142,1,17.7,3.5,0.5,5.65,0,1,28.35,2.5,0
1,"2024-01-13 03:36:47.000000","2024-01-13 03:55:25.000000",1,4.5,1,"N",163,7,1,21.9,3.5,0.5,8.05,0,1,34.95,2.5,0
2,"2024-01-13 03:04:35.000000","2024-01-13 03:43:26.000000",1,19.48,3,"N",229,1,1,94.4,1,0,0,20,1,116.4,0,0
1,"2024-01-13 03:13:39.000000","2024-01-13 03:14:09.000000",0,5.2,5,"N",132,132,3,0,0,0,0,0,1,1,0,0
2,"2024-01-13 03:58:15.000000","2024-01-13 04:23:44.000000",1,10.26,1,"N",113,244,2,42.9,1,0.5,0,0,1,47.9,2.5,0
2,"2024-01-13 03:08:04.000000","2024-01-13 03:15:02.000000",1,1.2,1,"N",79,137,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
2,"2024-01-13 03:31:23.000000","2024-01-13 03:47:26.000000",4,3.22,1,"N",79,246,1,18.4,1,0.5,2,0,1,25.4,2.5,0
1,"2024-01-13 03:57:46.000000","2024-01-13 04:26:29.000000",1,0,1,"N",76,181,1,29,0,0.5,0,0,1,30.5,0,0
2,"2024-01-13 03:07:29.000000","2024-01-13 03:21:25.000000",1,3.67,1,"N",164,263,1,18.4,1,0.5,0,0,1,23.4,2.5,0
1,"2024-01-13 03:39:39.000000","2024-01-13 03:45:15.000000",1,1,1,"N",232,232,2,7.9,3.5,0.5,0,0,1,12.9,2.5,0